,Title,Publication Information,Publisher,Author,year,Abstract
403,[PDF][PDF] A Gene Expression Programming Approach for Vehicle Body Segmentation and Color Recognition,"BCS Berno, LA Albini, VC Tasso, CMV Benıtez… - sbic.org.br",[PDF] sbic.org.br,"BCS Berno, LA Albini, VC Tasso, CMV Benıtez… ",,"… To train this algorithm, a new dataset was manually created through web scrapping 
techniques. For each vehicle image, there is an equivalent mask representing the desirable result 
for that image. This dataset includes car images in a variety of angles, colors and illumination …"
404,Ubiquitous Access to Deep Content via Web Services,"KZ Tivadar, GM Surányi - Web Engineering - infona.pl",Ubiquitous Access to Deep Content via Web Services,"KZ Tivadar, GM Surányi ",,"… together on the web. Even though these two tasks are naturally tackled in different ways, in 
this paper we propose a single solution to both problems based on logic, which, furthermore, 
makes their seamless integration possible. That is, without scrapping the well known models …"
405,[PDF][PDF] El periodismo de datos y la web semántica,"AA Bravo - CIC. Cuadernos de Información y Comunicación, 2013 - redalyc.org",[PDF] redalyc.org,AA Bravo ,2013,"… La herramienta más común para web scrapping PDF scrapping se trata de Google Drive 
(antiguo Google Docs), … la Web con una sencilla fórmula, tal como explica Bradshaw en “Scrapping 
for journalists”56. Por ejemplo, vamos a importar a la hoja de cálculo el contenido web …"
406,Identify missing countries using GEEBLL iterative method for analyzing tweets opinion,"CR Singh, R Gobinath - Materials Today: Proceedings, 2020 - Elsevier",Identify missing countries using GEEBLL iterative method for analyzing tweets opinion,"CR Singh, R Gobinath ",2020,"… scrapping web contents using Selenium Web Driver and Python [5]. The extraction of bio-data, 
account location and secondary account extraction is completely based on this technique of 
web scrapping… and bio-data, hence Selenium web scrapping technique has been used to …"
407,[CITATION][C] Rancang Bangun Rest Web Service Untuk Perbandingan Harga Pengiriman Dengan Metode Web Scrapping dan Pemanfaatan API,"D Riyadi - … : Sekolah Tinggi Manajemen Informatika dan Komputer …, 2013",Save,D Riyadi ,2013,
408,A Review: Recommendation System of Indian Cuisine Recipes Using Content-Based Approach,"J Dalal, F Murzello, S Kadam… - Proceedings of the 3rd …, 2020 - papers.ssrn.com",A Review: Recommendation System of Indian Cuisine Recipes Using Content-Based Approach,"J Dalal, F Murzello, S Kadam… ","3, 2020","… Web scraping is a method of collecting the data from the World Wide Web and storing it in a 
… to web scraping, different software and tools required for web scraping, various web 
scraping techniques, advantages and disadvantages of web scraping and the fields where web …"
409,Narrative Science Systems: A Review,"PK Sarao, P Mittal, R Kaur - arXiv preprint arXiv:1510.04420, 2015 - arxiv.org",[PDF] arxiv.org,"PK Sarao, P Mittal, R Kaur ","1510, 4420, 2015","… [8] presented a research paper related to generating narrative stories automatically from 
data that may be gathered from diverse resources like web scrapping. Once data was sourced, 
its features were derived in conjunction with perspectives/ aspects/ angles of the story. A …"
410,[PDF][PDF] Socially Smart an Aggregation System for Social Media using Web Scraping,"N Srikanth, CH Vennapusa Tejaswini, DP Kumar - Displays, 2019 - academia.edu",[PDF] academia.edu,"N Srikanth, CH Vennapusa Tejaswini, DP Kumar ",2019,"… as Web scraping/Web crawling which is part of Data Science. Web Crawling/ Web Scraping 
is a procedure to acquire the information from the web-… This method focuses on converting 
the formless data (HTML / XML format) on the web to structured data that can be stored in …"
411,[PDF][PDF] Data Extraction from Web Server Logs using Web Usage Mining,"B Harika, PT Sudha - International Journal Of Innovative Research In …, 2020 - academia.edu",[PDF] academia.edu,"B Harika, PT Sudha ",2020,"… service registry and the browsing behaviour of the user are used to get the same user 
generated web access order. In this document, we will use one of the web mining techniques 
to learn about web server log files that record the entire user's browsing history using the web …"
412,MoMoS-Mobile application monitoring software,"M Ansari, A Syed - 2017 - 103.248.31.52",[PDF] 103.248.31.52,"M Ansari, A Syed ","2017, 103, 248, 31, 52","… Web Scrapping, another technique, is a process of extracting useful information from HTML 
Pages which may be implemented using a … on web like web usage mining, web scrapping 
and semantic annotation for a better or efficient information extraction on tge web illustrated …"
413,Webmarks: Le marquage d'intérêt sur le Web de données,"N Delaforge, F Gandon - EGC 2012, 2012 - hal.archives-ouvertes.fr",[PDF] archives-ouvertes.fr,"N Delaforge, F Gandon ","2012, 2012","… Préserver : Le Web scrapping est une réinterprétation moderne des outils de mirroring qui 
ont foisonné au début du Web. Ces technologies … Certaines plate-formes de social web 
scrapping, comme Zotero, proposent de partager les scraps à travers un réseau social et de les …"
414,[PDF][PDF] Preliminary Experiences in Requirements-based Security Testing,AR da Silva - isg.inesc-id.pt,[PDF] inesc-id.pt,AR da Silva ,,"… Web scraping can be achieved by mapping specific elements of a web page through their 
XML … web-scrapping tools that support XPath are not free; the free web-scrapping extension 
that supported X-Path was not accurate leading to unnecessary rework, the free web-scrapping …"
415,TUNIZI: a Tunisian Arabizi sentiment analysis Dataset,"C Fourati, A Messaoudi, H Haddad - arXiv preprint arXiv:2004.14303, 2020 - arxiv.org",[PDF] arxiv.org,"C Fourati, A Messaoudi, H Haddad ","2004, 14303, 2020","… A script was written by iCompass Team and used in all web scrapping activities. After 
collecting the comments, another script was written to remove comments written in French and 
english. The choice of French and English was made by iCompass team because they represent …"
416,[PDF][PDF] Competitive intelligence applied to tourism destination management: Hotel market monitor,"JK Gerrikagoitia, A Alzua, I Ibarguren… - … Forum–Tourism and …, 2011 - academia.edu",[PDF] academia.edu,"JK Gerrikagoitia, A Alzua, I Ibarguren… ",2011,"… Web has become a faithful mirror of the world, in this case of the tourism industry in particular 
and therefore, information on market decisions can be obtained and analized from the web, 
this work is an interdisciplinary research effort that integrates web … uses screen scrapping …"
417,[CITATION][C] Ship scrapping–a floating scenario,"E Krogstrup, KKN Arleth - Final Thesis, University of Roskilde, Roskilde, 2006",Save,"E Krogstrup, KKN Arleth ",2006,
418,[PDF][PDF] I. An Assessment of the Propagation of Contemporary Russian Mechanical Phonation Verbs to Online Dictionaries. Web Scraping Project for the Russian …,"PB Koob, IV Ivliyeva - 2020 - scholarsmine.mst.edu",[PDF] mst.edu,"PB Koob, IV Ivliyeva ",2020,"… web sites, especailly ones that are associated database application, are generated in an 
automated fashion. This means that much of the content is wrapped in html formating that is very 
repatable and predictable. Webscrapping is … an API, so we use the web scraping technique. …"
419,Scrapping CDEP is just plain dumb,J Altman - 2018 - openresearch-repository.anu.edu.au,Scrapping CDEP is just plain dumb,J Altman ,2018,"Ministers Joe Hockey and Mal Broughs' decision to abolish the Community Development 
Employment Projects (CDEP) scheme in remote Indigenous communities in the NT will have 
marked impacts on the arts industry, the management of Indigenous Protected Areas, and …"
420,[PDF][PDF] Fake News Detection System,"R Chatse, P Kale, N Choudhari, A Shinare, S Kale - ijresm.com",[PDF] ijresm.com,"R Chatse, P Kale, N Choudhari, A Shinare, S Kale ",,"… in accuracy by taking different length of articles for detecting the fake news; also a concept 
of web scrapping was introduced which gave us an insight into how we can update our 
dataset on regular basis to check the truthfulness of the recently updated Facebook posts. …"
421,A Study of Knowledge Sharing related to Covid-19 Pandemic in Stack Overflow,"K Georgiou, N Mittas, L Angelis… - arXiv preprint arXiv …, 2020 - arxiv.org",[PDF] arxiv.org,"K Georgiou, N Mittas, L Angelis… ",2020,"… For example, the tag “web-scrapping” and “json” are related to the collection phase through 
the extraction of information from websites, whereas “beautifulsoup” is a Python package that 
is used for parsing web documents. In addition, “dataframe” is a well-known data structure …"
422,"[PDF][PDF] The Cultural Agenda and Leisure Time in Medellín, From the Perspective of the Online Content Experiences Shared","L Rojas De Francisco… - ACR Latin American …, 2017 - acrwebsite.org",[PDF] acrwebsite.org,L Rojas De Francisco… ,2017,"… To achieve this, the study uses a methodology that includes the use of web analytics, 
web scrapping and data mining using the IBM Bluemix’s API; tools that provide data and 
information that once filtered through refine software, can establish the sources where information …"
423,Ontology design and development using ontology editors along with semantic search patterns towards intelligent retrieval of information on web: case studies,"SK Malik, SAM Rizvi - International Journal of Autonomic …, 2014 - inderscienceonline.com",[PDF] inderscienceonline.com,"SK Malik, SAM Rizvi ",2014,"… Besides above, various other significant issues are: semantic annotation, search engines, 
Semantic Web browsers, web services, web usage mining, web scrapping, PSP, software 
agents or robots, Jena framework, eclipse environment, semantic search engines, FOAF, social …"
424,Use of Online Resources: A Study Based on Actual Usage Data,"S Kumar P, SS Nair - 2018 - indianjournals.com",Use of Online Resources: A Study Based on Actual Usage Data,"S Kumar P, SS Nair ",2018,"This paper examines the use of web logs data to know patterns of use of web resources at a 
postgraduate college library in Kerala. Since the user surveys have inherent bias, this study 
explores the actual usage data to highlight the academic information seeking habits of users …"
425,Neuro-fuzzy based hybrid model for web usage mining,"G Shivaprasad, NVS Reddy, UD Acharya… - Procedia Computer …, 2015 - Elsevier",[PDF] sciencedirect.com,"G Shivaprasad, NVS Reddy, UD Acharya… ",2015,"… The increasing number of web based applications has resulted in collection of massive 
amount of data in web server logs. This has … increasing the profit of the web based applications, 
Web Usage Mining discovers interesting usage patterns hidden in web data1. Usually, …"
426,Machine learning based approach on food recognition and nutrition estimation,"Z Shen, A Shehzad, S Chen, H Sun, J Liu - Procedia Computer Science, 2020 - Elsevier",[PDF] sciencedirect.com,"Z Shen, A Shehzad, S Chen, H Sun, J Liu ",2020,"… The text data unit is composed of web scrapping of almost more than 500 URLs of each 
food category. The model also processes text data. After that text data collection word2vec 
is trained on the corpus to attain vector space embeddings on semantic similarity. …"
427,Development of a Decision Support System for Clustering Scientific Publications Using K-Means,"FBP Kencana, RA Yuana, NA Pambudi - International Journal of …, 2021 - ijpsat.es",[PDF] ijpsat.es,"FBP Kencana, RA Yuana, NA Pambudi ",2021,"… This crawler tool is programmed with certain algorithm to gather information from the web. 
It works by scanning and reading the text on the … In this research, selenium was run with 
the help of a web driver, namely the chrome driver. Web driver is created in headless mode …"
428,[PDF][PDF] Measuring Public Sentiment Towards Services Level in Online Forum using Naive Bayes Classifier and Word Cloud,"A Alamsyah, FN Zuhri - CRS-ForMIND International Conference and …, 2017 - academia.edu",[PDF] academia.edu,"A Alamsyah, FN Zuhri ",2017,"… We use web scrapping process to collect data about a telecommunication smartfren brand 
in Kaskus forum. The data in form of post, opinion, review in Bahasa Indonesia. The challenge 
in Kaskus is that most user is more likely to use an informal or non-standard language, …"
429,"[PDF][PDF] REPORT ON THE PRODUCER PRICE INDEX AND RESIDENTIAL PROPERTY PRICE INDEX MISSION,(APRIL 25–MAY 4, 2018)",A Baer - 2018 - imf.org,[PDF] imf.org,A Baer ,2018,"… that Geostat inform the owners of the sites and request that data be transmitted to the agency 
as a first option, prior to web scrapping. … • Explore fitness for purpose and quality of web 
scrapping data from the two main websites. • Obtain first set of data from NAPR and assess its …"
430,Improved spam detection in social network using machine learning,S Athavani - 2020 - ir.aiktclibrary.org,[PDF] aiktclibrary.org,S Athavani ,2020,"… To check whether the news is genuine or fake we used web scrapping . in scrapping we 
used MANGO DB. • Through scrapping we compare the given input whit our available news 
source. • After comparing it indicate whether the news is fake or not through a color (red or green…"
431,Pembuatan Web Pembanding Fashion Wanita,"Y Nathania, J Andjarwirawan, S Rostianingsih - Jurnal Infra, 2016 - publication.petra.ac.id",[PDF] petra.ac.id,"Y Nathania, J Andjarwirawan, S Rostianingsih ",2016,"… SOA dan web scrapping adalah metode yang dapat digunakan untuk mengambil data dari 
sebuah … data dari web yang telah menyediakan API untuk proses pengambilan data. Sedangkan 
web scrapping digunakan untuk mengambil data dari web yang tidak menyediakan API. …"
432,HOSPITAL INFORMATION (HOSPITALIZATION) APPLICATION USING WEB SCRAPING METHOD,"AF Naswir, R Ginanjar, RB Wahyu, ES Hasrito… - journal.universitasbumigora.ac.id",[PDF] universitasbumigora.ac.id,"AF Naswir, R Ginanjar, RB Wahyu, ES Hasrito… ",,"… In this new era of technology, web application is one of popular method for delivering information 
or searching information, web application … There will be 2 platforms that will be resulted on 
this research, web-based application and android web-view application. User can access …"
433,The role of social media on the improvement of business processes (in the digital strategy),A MESSAGIER - 2021 - dspace.univ-bba.dz,[PDF] univ-bba.dz,A MESSAGIER ,2021,"… On and all, web scraping has many uses in all the fields but in garments industry it can be 
so beneficial, improving your marketing strategy is a key for your business success and web 
scrapping can make that happened, and that by helping you retrieve the data you need to have…"
434,Ethylene‐vinyl acetate foam as a new lung substitute in radiotherapy,"E Marqués, PJ Mancha - Medical Physics, 2018 - Wiley Online Library",Ethylene‐vinyl acetate foam as a new lung substitute in radiotherapy,"E Marqués, PJ Mancha ",2018,"… All mass attenuation coefficients in this paper were obtained from the NIST XCOM database8 
using Python scripting web scrapping … web scrapping techniques. The mass collision stopping 
power for water, (S/ρ) w , was obtained from the NIST ESTAR database for compounds. …"
435,A Comparative Study of Different Classification Techniques for Sentiment Analysis,"S Ghosh, A Hazra, A Raj - International Journal of Synthetic …, 2020 - igi-global.com",[PDF] igi-global.com,"S Ghosh, A Hazra, A Raj ",2020,"… These texts can be of books, reviews and all sorts of texts of some HTML webpages that we 
extract from web scrapping. By using Natural Language Processing (NLP) (Khurana D. et al., 
2017) with regular expressions based operations we can perform predictive analysis on text…"
436,"Neurodevelopment and exposure to neurotoxic metal (loid) s in environments polluted by mining, metal scrapping and smelters, and e-waste recycling in low and …","JG Dórea - Environmental Research, 2021 - Elsevier","Neurodevelopment and exposure to neurotoxic metal (loid) s in environments polluted by mining, metal scrapping and smelters, and e-waste recycling in low and …",JG Dórea ,2021,"This review covers a wide body of literature to gain an understanding of the impacts of informal 
activities related to metal extraction (primary mining and recycling) on early life exposure 
to neurotoxicants and on neurodevelopment. In primary mining, gold extraction with Hg …"
437,[PDF][PDF] IMPLEMENTATION of DSL for WEB SCRAPING,"SK Shah, SS Shankar, N Rachana, S Preetha - scholar.archive.org",[PDF] archive.org,"SK Shah, SS Shankar, N Rachana, S Preetha ",,"… We aim to simplify web scraping for the end user so that no high-level technical knowledge 
or skill is … the paper [13] is to obtain information through indexing on the web with the help 
of a bot or web crawler. … thon is an easy to use a rich set of modules for web scrapping are: …"
438,Examining Users' Concerns while Using Mobile Learning Apps.,"S Okuboyejo, O Koyejo - International Journal of Interactive …, 2021 - search.ebscohost.com",Examining Users' Concerns while Using Mobile Learning Apps.,"S Okuboyejo, O Koyejo ",2021,"… We extracted the reviews through a Python-based web scrapping tool. These sets of reviews 
became the input data for this study. The user reviews were preprocessed to include stop 
word removal, lemmatization, stemming, part-of-speech tagging (POS), and phrase modeling (…"
439,Water jet scrapping on diaphragm wall surface placed under bentonite slurry; Water jet ni yoru chichu renzokuheki uchitsugimen no senjo,"T Isobe, S Tanaka - Kajima Gijutsu Kenkyusho Nenpo (Annual Report …, 1994 - osti.gov",Water jet scrapping on diaphragm wall surface placed under bentonite slurry; Water jet ni yoru chichu renzokuheki uchitsugimen no senjo,"T Isobe, S Tanaka ",1994,"… into a composite wall, chipping or scrapping is required for joint surfaces. Although for a 
scrapping method a method utilizing water jet has … Scrapping tests are conducted for concrete 
in molds and for actual diaphragm walls in order to evaluate the applicability of these three …"
440,Evaluation of phenotype classification methods for obesity using direct to consumer genetic data,"CA Curbelo Montañez, P Fergus, A Hussain… - … on Intelligent Computing, 2017 - Springer",[PDF] ljmu.ac.uk,"CA Curbelo Montañez, P Fergus, A Hussain… ",2017,"… The web-scrapping process applied in this study is susceptible to failures in the future if the 
PGP website structure changes. This is an … This paper focuses on an approach for selecting 
informative SNPs from publicly available data collected using web scrapping techniques. The …"
441,[CITATION][C] WEB DATA EXTRACTION SYSTEM USING PATH SEARCH ALGORITHM,"A SING, AH BHOLE, V SINGH, BI SANGOLE…",Save,"A SING, AH BHOLE, V SINGH, BI SANGOLE…",,
442,[PDF][PDF] Seller reputation impact on sales performance in public e-marketplace Bukalapak,"MA Fauzan, AS Nisafani, A Wibisono - Telkomnika, 2019 - academia.edu",[PDF] academia.edu,"MA Fauzan, AS Nisafani, A Wibisono ",2019,"… The results of this analysis are based on data taken through web scrapping results on 
Bukalapak site. Similar previous studies used data from C2C e-commerce China and USA, 
Taobao and eBay. The results of this study showed that there was more similar result between the …"
443,[PDF][PDF] Reimaging Welfare in the Platform Economy: Challenges and Opportunities for the Pension Systems,J Sapic - inclusivegrowth.eu,[PDF] inclusivegrowth.eu,J Sapic ,,"… Quantitative data collection methods combined platforms’ open data collection via web 
scrapping as a first iteration of the research protocol and online survey of platform workers 
from Serbia as the second iteration. Web scrapping enabled initial data collection regarding …"
444,Android application for employing skilled and unskilled people,"M Ansari, FAA Siddique, PB Patil, R Bano, S Ahmad… - 2019 - 103.248.31.52",[PDF] 103.248.31.52,"M Ansari, FAA Siddique, PB Patil, R Bano, S Ahmad… ","2019, 103, 248, 31, 52","… Using data scrapping we are fetching scholarships from web. Classifying them basis on 
qualification. Students can register themselves … Using data scrapping we are fetching scholarships 
from web. Classifying them basis on qualification. Students can register themselves and …"
445,Sentiment Analysis Online Shop on the Play Store Using Method Support Vector Machine (Svm),"MI Ahmadi, F Apriani, M Kurniasari… - Seminar Nasional …, 2020 - jurnal.upnyk.ac.id",[PDF] upnyk.ac.id,"MI Ahmadi, F Apriani, M Kurniasari… ",2020,"… Data yang di ambil menggunakan teknik Web Scrapping (add-on Google Crome yaitu Data 
Miner). Jumlah data yang diambil yaitu 1500 ulasan dengan perbandingan ulasan positif 
dan negatif 50 : 50, data tersebut akan di jadikan data latih untuk data ulasan dari setiap …"
446,Sistema de adquisición y procesamiento de sanciones de tráfico mediante técnicas de webscrapping,M Talavera Ulla - 2017 - repositorio.comillas.edu,[PDF] comillas.edu,M Talavera Ulla ,2017,"… de notificación para cada uno de estos datos por separado a través del formulario de 
búsqueda del Tablón Edictal Único (TEU) en la página web del BOE, mediante web scrapping, 
es decir, simulando la navegación de un humano para extraer la información del sitio web. …"
447,[HTML][HTML] An information display system with information scrapping user interface based on digital signage terminals and mobile devices for disaster situations,"R Aoki, A Miyata, S Seko, R Hashimoto, T Ishida… - … Conference on Human …, 2016 - Springer",[HTML] springer.com,"R Aoki, A Miyata, S Seko, R Hashimoto, T Ishida… ",2016,"… Our contributions include an information display system with an information scrapping user 
interface suitable for digital signage terminals … Since HTML5 is a Web technology standardized 
by W3C, web-based systems are most suitable for disaster situations since many kinds of …"
448,Pengembangan Sistem Analisis Sentimen Berbasis Java Pada Data Twitter Terhadap Omnibus Law Menggunakan Algoritma Naïve Bayes dan K-Nearst Neighbor (K …,"EN Hamdana, MBI Alfahmi - Jurnal Informatika Polinema, 2021 - jip.polinema.ac.id",[PDF] polinema.ac.id,"EN Hamdana, MBI Alfahmi ",2021,"… Peneliti menggunakan metode web scrapping untuk proses penggambilan data dari 
twitter secara real time. Hasil penelitian menunjukan bahwa analisis sentimen terhadap data 
Twitter terhadap UU Cipta Kerja Ombibus law dengan menggunakan metode Naïve Bayes …"
449,Implementasi Teknik Web Scraping pada jurnal SINTA untuk analisis topik penelitian kesehatan Indonesia,"Y Sahria - Proceeding of The URECOL, 2020 - repository.urecol.org",[PDF] urecol.org,Y Sahria ,2020,"… Metode yang digunakan yaitu dengan mengimplementasikan web scraping pada Jurnal 
SINTA. Teknik scraping mengambil judul jurnal … Penelitian ini dapat memproses web scraping 
dari Jurnal SINTA dan kemudian data disimpan ke dalam bentuk format CSV. Dokumen …"
450,A comparison of web data extraction techniques,"M Salah, B Al Okush, M Al Rifaee - 2019 IEEE Jordan …, 2019 - ieeexplore.ieee.org",A comparison of web data extraction techniques,"M Salah, B Al Okush, M Al Rifaee ","2019, 2019","… Section (II) presents an overview of the web scrapping techniques used in data extraction. It 
categories the techniques as unsupervised, supervised, semi-supervised and manual 
techniques. Section (III) include a comparison and analysis of the frameworks used in information …"
451,Automatic Generation of Multimodal Learning Objects from Electronic Textbooks,"A Suresh, V Mercy Rajaselvi - … of the International Conference on Soft …, 2016 - Springer",Automatic Generation of Multimodal Learning Objects from Electronic Textbooks,"A Suresh, V Mercy Rajaselvi ",2016,"… Likewise for any input a dynamically ontology tree is constructed using web scrapping 
technique. … Web Scrapping Technique … Chen P-SD, Lambert AD, Guidry KR (2010) Engaging 
online learners: the impact of web-based learning technology on college student engagement. …"
452,[HTML][HTML] Stemming Impact Analysis On Indonesian Quran Translation And Their Tafsir Classification For Ontology Instances,"FS Utomo, N Suryana, MS Azmi - IIUM Engineering Journal, 2020 - journals.iium.edu.my",[HTML] iium.edu.my,"FS Utomo, N Suryana, MS Azmi ",2020,"… His research interests are ontologies and semantic web and their usage in question 
answering system. … OAM: An Ontology Application Management Framework for Simplifying 
Ontology-Based Semantic Web Application Development. International Journal of Software …"
453,Present status and resource recycling of automobile scrapping and disposal; Haisha shori no genjo to kenzenna risaikuru kiko no kakuritsu,"S Takahashi - Chuzo Kogaku (Journal of Japan Foundry Engineering …, 1997 - osti.gov",Present status and resource recycling of automobile scrapping and disposal; Haisha shori no genjo to kenzenna risaikuru kiko no kakuritsu,S Takahashi ,1997,"… With primary object of developing a healthy total recycling system for scrapping and disposal 
of disused cars, a discussion is made on waste disposal including the problems of waste 
disposal. The yearly number of disused automobiles in Japan totals about five million, and they …"
454,[HTML][HTML] Leveraging artificial intelligence to analyze citizens' opinions on urban green space,"M Ghahramani, NJ Galle, F Duarte, C Ratti… - City and Environment …, 2021 - Elsevier",[HTML] sciencedirect.com,"M Ghahramani, NJ Galle, F Duarte, C Ratti… ",2021,"… Yet, both web-based civic participation platforms and social media data face limitations. 
FixMyStreet, with over 12,000 reports sent to UK … A multi-layer approach consisting of different 
phases (ie, web scrapping, data cleanings, imbalanced classification, and supervised ML) is …"
455,Perancangan Sistem Informasi Web Scraping Resep Masakan berbasis PHP,"AU Zailani - PROSIDING SEMINAR INFORMATIKA …, 2019 - openjournal.unpam.ac.id",Perancangan Sistem Informasi Web Scraping Resep Masakan berbasis PHP,AU Zailani ,2019,"… resep yang berbeda dan web yang berbeda. Untuk membuat web diperlukan waktu yang 
cukup lama untuk memasukan data ke database karena data yang terlalu banyak dan kompleks, 
maka dibutuhkan pengumpulan data secara cepat. Web Scraping merupakan metode …"
456,"[PDF][PDF] Pension Reform in Chile: Closing the gap, not scrapping the system","E James - National Center for Policy Analysis Brief Analysis, 2007 - ncpathinktank.org",[PDF] ncpathinktank.org,E James ,2007,"… Dallas Headquarters: 12770 Coit Rd., Suite 800 • Dallas, TX 75251• 972-386-6272 • Fax: 
972-386-0924 • Web site: http://www.ncpa.org … You can contribute to our effort by mailing 
your donation to our Dallas headquarters or logging on to our Web site at www.ncpa.org and …"
457,Comparison of Sentiment Analysis on Auto-Summarized Text & Original Text using various Summarization Techniques,"P Kandpal, Y Wadkar, H Attri… - 2020 IEEE Pune Section …, 2020 - ieeexplore.ieee.org",Comparison of Sentiment Analysis on Auto-Summarized Text & Original Text using various Summarization Techniques,"P Kandpal, Y Wadkar, H Attri… ","2020, 2020","… First step towards implementation would be to load the textual data either manually or via 
web scrapping, after completing this process the next step would be to apply Text processing 
in which the data will be cleansed from stop words or punctuations, Stemming will be applied …"
458,Investigation of Automated Population and Maintenance of a Resource Database using Web-based Screen Scraping and Web Services,S Udayasankar - 2007 - rave.ohiolink.edu,[PDF] ohiolink.edu,S Udayasankar ,2007,"… Thus, we want to determine ways to search the Web using scrapping and Web services, to 
find suppliers of goods and services that match the existing taxonomy categories used in CDIS. 
We also want to locate suppliers that correspond to the geographic regions that match the …"
459,Automation of anomaly detections in real time by combining numeric and semantic processing,B Belabbess - 2018 - tel.archives-ouvertes.fr,[PDF] archives-ouvertes.fr,B Belabbess ,2018,"… ""scrapping web"" permettant la contextualisation des singularités liées à l’Internet des Objets 
en exploitant aussi bien des informations spatiales que le web … Enfin, nous détaillons les 
principes du Web Sémantique pour expliquer l’exploitation du Web des données ainsi que les …"
460,[PDF][PDF] Music Recommendation System,SN SJ - academia.edu,[PDF] academia.edu,SN SJ ,,"… Web scrapping is used to download music files, thumbnails and artist images from various 
web … The above data is uploaded to firebase storage and firestore and made available using 
a web user interface. ANN model that has one input layer, six hidden layers, and one output …"
461,Survey on recent methodologies used for recommender system,"PS Tugaonkar, V Chitre - 2016 International Conference on …, 2016 - ieeexplore.ieee.org",[PDF] researchgate.net,"PS Tugaonkar, V Chitre ","2016, 2016","… of web structure mining is generating structured summaries about information on web 
pages/webs. It is shown the link one web page to another web … Its check the pattern is correct 
on the web and how to implement on web to extract the information on your web search / extract …"
462,Classifying Flood Severity Using Machine Learning,J Behera - 2020 - norma.ncirl.ie,[PDF] ncirl.ie,J Behera ,2020,"… website via web scrapping. The extracted data … web scrapping process took prolonged time 
to run and the website didn’t provide data for all the flood date. Hence, the website’s application 
program interface was used to extract data which is much faster than the web scrapping …"
463,Command Similarity Measurement Using NLP,"Z Hussain, JK Nurminen, T Mikkonen… - 10th Symposium on …, 2021 - drops.dagstuhl.de",[PDF] dagstuhl.de,"Z Hussain, JK Nurminen, T Mikkonen… ","10, 2021","… We collected Windows data by web scrapping the official documentation3 of Windows commands. 
For web scraping, a Python library Beautiful … For Linux, no official command documentation 
was found, but open source web projects for Linux manual pages are available. One of …"
464,Text Analytics Architecture in IoT Systems,"D Fuentalba, C Durán, C Guillaume… - 2021 Third South …, 2021 - ieeexplore.ieee.org",Text Analytics Architecture in IoT Systems,"D Fuentalba, C Durán, C Guillaume… ","2021, 2021","… Additionally, the microservice infrastructure can run these algorithms on other Raspberries 
or in a cloud service, providing enough IT flexibility to extend the functionality of other 
applications such as classification or web scrapping. The future work is to parallelize tasks and …"
465,"The test run for scrapping. At Greifswald, technicians are preparing for remote-controlled reactor dismantling; Probelauf fuers Verschrotten. In Greifswald bereiten die …","M Franken - Neue Energie, 1999 - osti.gov","The test run for scrapping. At Greifswald, technicians are preparing for remote-controlled reactor dismantling; Probelauf fuers Verschrotten. In Greifswald bereiten die …",M Franken ,1999,"Should the red-green federal government keep its promise made during the election 
campaign to phase out nuclear power, plenty of orders might be in the offing for one sector: the 
scrap industry. For not only the 19 active piles would have to be dismantled. 17 nuclear power …"
466,A mashup-based strategy for migration to service-oriented computing,"S Cetin, NI Altintas, H Oguztuzun… - IEEE International …, 2007 - ieeexplore.ieee.org",[PDF] academia.edu,"S Cetin, NI Altintas, H Oguztuzun… ",2007,"… In such a situation the DSE can employ “Screen Scrapping/Web Reading” techniques by 
analyzing the page structure and wrapping out the … , screen-scrapping techniques are essential 
to simulate the working of the mainframe terminals. Using screen scrapping, the data would …"
467,Keyboard-less online shopping for the visually impaired using natural language processing and face recognition mechanism,"S Rallabhandy, S Rodda - Smart Intelligent Computing and Applications, 2020 - Springer",[PDF] researchgate.net,"S Rallabhandy, S Rodda ",2020,"… After the search results, to extract the data from the web page Web Scraping was used and 
… After selection of the product, the product was added to the cart using Selenium Web Driver. 
… For retrieving the ratings, we have used Web Scraping Technique. Initially, after the user the …"
468,[PDF][PDF] Life cycle management system for accelerator equipment,"Y Ishizawa, A Yamashita - Proceedings of ICALEPCS, 2009 - accelconf.web.cern.ch",[PDF] cern.ch,"Y Ishizawa, A Yamashita ",2009,"… used in accelerators from production to scrapping. The key component of … scrapping. Labels 
sticker on the walls or floor of a building shows installation location of equipment. A relational 
database management system (RDBMS) stores data. Users can access data from a Web …"
469,"HAN, image captioning, and forensics ensemble multimodal fake news detection","P Meel, DK Vishwakarma - Information Sciences, 2021 - Elsevier","HAN, image captioning, and forensics ensemble multimodal fake news detection","P Meel, DK Vishwakarma ",2021,"… The datasets are converted to a suitable form by pre-processing them and scrapping images 
from the web with the corresponding news. HAN deep learning model is used to extract 
hidden patterns at the word level and sentence level text in the news headline and body part. …"
470,Product or Item‐Based Recommender System,"J Rani, U Mittal, G Gupta - Recommender System with Machine …, 2020 - Wiley Online Library",Product or Item‐Based Recommender System,"J Rani, U Mittal, G Gupta ",2020,"… It contains approximately 125,000 recipes which are collected by web scrapping various 
web sites. A recipe is defined in a systematic system using different components like title of the 
recipe, a list of ingredients and measurements, directions for preparation, and a photo of the …"
